"island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex"
"Biscoe",38.6,13.3,185,3400,"male"
"Biscoe",37.6,19.4,198,5650,"female"
"Biscoe",45.5,17,220,5000,"female"
"Biscoe",51.1,19,191,4300,"male"
"Dream",36.5,17.2,200,4050,"male"
"Biscoe",38.5,19.6,191,5850,"male"
"Dream",43.5,13.5,193,4300,"female"
"Biscoe",50.1,19.2,190,4750,"female"
"Biscoe",45.5,18.6,219,4950,"male"
"Biscoe",45.4,14.5,208,3700,"female"
"Dream",48.4,18.1,192,5000,"male"
"Dream",37.8,16.5,195,3600,"female"
"Biscoe",42.2,14.1,193,5350,"female"
"Dream",46.4,16.9,193,3700,"male"
"Dream",46.6,19.5,218,4750,"male"
"Biscoe",48.5,17.9,187,3550,"male"
"Biscoe",38.1,18.5,187,3175,"female"
"Biscoe",39.8,14.4,190,4925,"male"
"Biscoe",45,21.1,188,3500,"female"
"Torgersen",46,19.6,210,4500,"male"
"Torgersen",52.5,14.2,222,4200,"female"
"Biscoe",44.9,20.8,196,4300,"female"
"Biscoe",50,17,187,5200,"female"
"Biscoe",41.1,18.8,190,3550,"male"
"Biscoe",52.1,18.5,215,4675,"male"
"Dream",35,14.3,195,4550,"female"
"Torgersen",50.8,19,191,5600,"male"
"Biscoe",45.2,18.9,229,4600,"female"
"Biscoe",49.7,18.6,184,5500,"female"
"Biscoe",47.8,19.2,181,5600,"female"
"Dream",45.6,18.9,205,3775,"male"
"Torgersen",40.8,14.5,226,3900,"female"
"Dream",46.5,14.4,230,5050,"female"
"Torgersen",39.6,15.1,200,4700,"male"
"Biscoe",46.4,17.1,198,4350,"male"
"Biscoe",50,18.6,201,3325,"female"
"Dream",58,14.4,216,2850,"male"
"Biscoe",39.6,20.5,181,3000,"female"
"Biscoe",49.1,17.3,229,3450,"female"
"Dream",46.9,15.6,184,3900,"male"
"Biscoe",46,17.8,176,3450,"female"
"Dream",38.5,19.5,230,4650,"male"
"Biscoe",43.3,16.8,193,4050,"female"
"Dream",50.1,15.6,210,4925,"male"
"Biscoe",46.8,17.1,197,3700,"male"
"Biscoe",36.5,16,219,3550,"female"
"Dream",42.6,17.8,190,3800,"male"
"Biscoe",51.5,17.3,184,2900,"female"
"Biscoe",45.8,14.2,219,3600,"male"
"Biscoe",48.8,19.6,208,5200,"male"
"Dream",46.8,17.2,191,4450,"female"
"Torgersen",50.5,18.6,203,3650,"male"
"Biscoe",33.5,18.1,222,3900,"male"
"Biscoe",50.7,18.1,198,4400,"male"
"Dream",51.3,16.2,229,3425,"female"
"Biscoe",38.8,18.3,228,3900,"male"
"Dream",52,20.1,200,3250,"male"
"Dream",46.2,18.2,225,3400,"female"
"Biscoe",35.3,13.7,193,4100,"male"
"Dream",35.7,14.2,209,4000,"female"
"Biscoe",37.9,18.1,215,3725,"female"
"Torgersen",46.4,14.2,187,5500,"male"
"Dream",50.1,21.1,181,4050,"female"
"Dream",35.5,16.6,185,5550,"female"
"Biscoe",50,16.3,190,4450,"female"
"Dream",45.6,13.9,220,3500,"male"
"Biscoe",44.9,18.9,189,3300,"female"
"Biscoe",50.9,19.2,195,4400,"female"
"Dream",50,14.3,187,3800,"male"
"Dream",45.2,14.6,214,4200,"female"
"Dream",47.6,16.2,223,4775,"female"
"Biscoe",37.9,17.2,212,3800,"male"
"Biscoe",41.4,20,230,5500,"female"
"Dream",46.2,14.6,199,4200,"female"
"Biscoe",46.1,18.5,184,3200,"female"
"Dream",45.9,19.7,210,2925,"female"
"Biscoe",42.6,15.2,217,4925,"female"
"Torgersen",50,13.3,195,4150,"female"
"Dream",46.4,16.8,230,2900,"male"
"Biscoe",35,14.6,231,3600,"female"
"Dream",36,17.8,195,4275,"male"
"Biscoe",45.8,19.3,220,5550,"male"
"Biscoe",49.7,18.1,218,4000,"female"
"Biscoe",36,18.9,201,4400,"female"
"Dream",39.2,14.9,185,3875,"female"
"Dream",55.8,17.8,178,3700,"male"
"Biscoe",42.5,16.2,208,5250,"male"
"Dream",36.8,18,193,3675,"female"
"Dream",39.7,16.2,190,4750,"male"
"Biscoe",43.1,18.5,208,4350,"female"
"Biscoe",40.8,17.8,218,3725,"female"
"Biscoe",39,15.7,203,4300,"female"
"Biscoe",39.6,19,191,3550,"female"
"Biscoe",43.5,14.2,210,3700,"female"
"Biscoe",36.2,16.1,187,4150,"female"
"Dream",48.2,18.9,215,5700,"male"
"Biscoe",47,17.1,181,4000,"male"
"Dream",42.7,18,174,3400,"female"
"Dream",42,18.9,220,3275,"male"
"Biscoe",46.2,14.2,201,5950,"female"
"Dream",41.8,17.9,208,3475,"male"
"Biscoe",40.9,19,197,3700,"male"
"Torgersen",42.8,14,187,3525,"male"
"Dream",49.6,18.9,215,3200,"male"
"Dream",49.8,17,191,3050,"male"
"Biscoe",49.9,16.1,211,3800,"male"
"Dream",42.2,17.9,180,4575,"male"
"Dream",47,15.2,207,3300,"male"
"Dream",36,18.7,172,3300,"male"
"Dream",47.5,15.7,208,4250,"female"
"Biscoe",46.2,14.2,230,5300,"female"
"Torgersen",41.6,21.5,188,5700,"female"
"Biscoe",52.8,18.9,215,4100,"male"
"Dream",39.7,18.5,230,3900,"female"
"Biscoe",38.1,18.2,225,3700,"female"
"Dream",47.5,16.4,182,3950,"male"
"Biscoe",50,15,202,3750,"female"
"Dream",49.5,13.1,188,5250,"male"
"Dream",46.2,15.2,190,5050,"male"
"Dream",49.4,20.7,190,3775,"female"
"Biscoe",37.6,17.3,196,4625,"male"
"Biscoe",40.1,18,213,4150,"female"
"Dream",41.3,19.9,217,3950,"female"
"Dream",47.5,16.2,217,3525,"male"
"Torgersen",49.9,14,188,5000,"male"
"Torgersen",46.5,18.7,205,5550,"female"
"Dream",35.5,15.1,210,3900,"female"
"Biscoe",49.2,14.2,210,4400,"female"
"Torgersen",45.2,15.8,194,5200,"male"
"Biscoe",38.6,18.1,225,3200,"female"
"Biscoe",38.5,18.4,190,5000,"male"
"Biscoe",48.8,16.6,187,5200,"female"
"Dream",36.5,16.9,216,4700,"female"
"Dream",36.5,18.4,188,4300,"male"
"Torgersen",39.6,18.2,202,4150,"male"
"Torgersen",49,18.7,192,5100,"female"
"Biscoe",40.9,21.1,193,3325,"male"
"Dream",50.6,19.8,203,3500,"female"
"Biscoe",54.3,19.9,199,4750,"male"
"Dream",46.1,17.9,184,3900,"male"
"Torgersen",38.1,14.2,215,4300,"female"
"Biscoe",45.2,13.4,217,3700,"male"
"Torgersen",46.6,16.3,222,3400,"female"
"Biscoe",43.6,19.4,212,4300,"male"
"Biscoe",43.3,15.1,197,3325,"female"
"Biscoe",41.1,18.1,194,5150,"male"
"Biscoe",43.3,14.6,197,3450,"male"
"Biscoe",37.5,18.6,220,4700,"female"
"Dream",46.9,17.5,228,3950,"male"
"Biscoe",42.4,17,192,4875,"female"
"Torgersen",42.2,18.9,190,4350,"male"
"Torgersen",43.8,16.3,216,4600,"male"
"Dream",41.7,17.9,224,4150,"female"
"Dream",45.7,15.7,192,4050,"male"
"Biscoe",48.7,14.9,191,3950,"female"
"Dream",35.2,20.7,202,5750,"female"
"Dream",39,17.9,218,3800,"male"
"Dream",49.5,17.2,192,4700,"female"
"Torgersen",43.1,13.1,212,4400,"male"
"Biscoe",37,14.6,207,3550,"male"
"Torgersen",40.2,18.9,201,3750,"female"
"Biscoe",36.9,15.8,195,5350,"female"
"Biscoe",46.4,19.1,202,3150,"male"
"Dream",46.5,15,215,3400,"male"
"Biscoe",45.2,20,187,5550,"female"
"Dream",48.5,16.5,208,3750,"female"
"Biscoe",39.8,15,222,3200,"male"
"Dream",55.9,18.1,181,5700,"female"
"Biscoe",39.3,19.1,210,4200,"female"
"Biscoe",48.4,21.1,197,4000,"female"
"Biscoe",50.9,15.8,185,3675,"female"
"Biscoe",46.8,20,212,3750,"female"
"Torgersen",41,21.1,195,4550,"female"
"Biscoe",47.8,18.5,231,3600,"female"
"Biscoe",40.8,18.4,190,3150,"female"
"Dream",45.5,18.9,187,3800,"male"
"Dream",52.7,17.6,192,4375,"male"
"Dream",45.5,14.6,190,3000,"male"
"Biscoe",45.1,19,220,4650,"male"
"Dream",46.8,18.8,189,5650,"female"
"Torgersen",50.6,17.8,190,4350,"male"
"Biscoe",52,15.9,190,4050,"male"
"Torgersen",50.2,19.4,188,4450,"female"
"Biscoe",39.6,18.5,198,3600,"female"
"Dream",38.7,16.5,225,3150,"female"
"Biscoe",37.8,19,198,3725,"male"
"Biscoe",51.1,21.2,207,3575,"male"
"Dream",50.2,18.5,192,4650,"female"
"Torgersen",41.1,18.7,191,4775,"male"
"Dream",43.1,18.7,221,4300,"male"
"Biscoe",48.6,18.5,215,5550,"female"
"Torgersen",36.2,19,195,3550,"male"
"Torgersen",46.2,14.6,222,3400,"female"
"Dream",52.7,18.2,188,2900,"female"
"Torgersen",53.5,19.1,215,3775,"female"
"Dream",48.2,19.1,215,4750,"male"
"Dream",45.2,20.5,196,5550,"male"
"Biscoe",45.4,17.9,212,3050,"female"
"Dream",39.1,17.3,191,4300,"male"
"Dream",40.2,19,218,3550,"female"
"Dream",43.5,19.9,199,3675,"female"
"Dream",46,15,215,2925,"male"
"Biscoe",45.5,17.2,201,5950,"female"
"Torgersen",42.7,16.1,196,3950,"female"
"Biscoe",50.2,14.1,188,4950,"male"
"Dream",37.3,18.4,190,3800,"male"
"Dream",40.5,15.1,221,4500,"female"
"Biscoe",46.3,18.1,185,4950,"male"
"Torgersen",38.8,15.2,180,3750,"male"
"Biscoe",52,17.7,192,5550,"male"
"Dream",34.6,19,198,2900,"male"
"Biscoe",38.3,19.5,188,4400,"female"
"Biscoe",47.5,16.8,218,4600,"female"
"Dream",46.7,16.6,188,4700,"male"
"Dream",47.6,15.6,190,4850,"female"
"Biscoe",46.5,13.9,198,4050,"female"
"Dream",36.6,16.7,229,5350,"male"
"Biscoe",41.7,18.8,195,4975,"male"
"Biscoe",35.1,17.9,210,3900,"male"
"Biscoe",46.1,14.1,203,3550,"male"
